"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012",
"Aruba","ABW","Ratio of young literate females to males (% ages 15-24)","SE.ADT.1524.LT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.2878298","","","","","","","","","","100.3606022","","",
"Aruba","ABW","Ratio of female to male primary enrollment (%)","SE.ENR.PRIM.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.07","96.651","97.017","94.696","93.151","92.321","93.822","95.524","95.153","95.344","96.113","97.185","94.904","",
"Aruba","ABW","Ratio of girls to boys in primary and secondary education (%)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101.117","99.234","99.995","98.826","97.681","95.303","96.367","96.8","97.656","98.699","97.945","98.595","97.898","",
"Aruba","ABW","Ratio of female to male secondary enrollment (%)","SE.ENR.SECO.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105.83","103.317","104.675","105.311","104.753","100.034","100.404","98.873","101.28","103.858","100.742","100.758","101.804","",
"Aruba","ABW","Ratio of female to male tertiary enrollment (%)","SE.ENR.TERT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","115.484","151.221","150.634","149.596","142.599","147.458","144.133","146.379","135.055","133.004","135.218","129.916","135.283","",
"Aruba","ABW","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Prevalence of HIV, female (% ages 15-24)","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Prevalence of HIV, male (% ages 15-24)","SH.HIV.1524.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Share of women employed in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44","","","43.4","","","","","","48.3","","","","","","","48.6","","","51.7","","",
"Aruba","ABW","Vulnerable employment, female (% of female employment)","SL.EMP.VULN.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.29999995231628","","","","","","","","","2.5","","","","","","","3.29999995231628","","","","","",
"Aruba","ABW","Vulnerable employment, male (% of male employment)","SL.EMP.VULN.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.19999980926514","","","","","","","","","5.5","","","","","","","5.40000009536743","","","","","",
"Aruba","ABW","Children in employment, female (% of female children ages 7-14)","SL.TLF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Children in employment, male (% of male children ages 7-14)","SL.TLF.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Children in employment, study and work, female (% of female children in employment, ages 7-14)","SL.TLF.0714.SW.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Children in employment, study and work, male (% of male children in employment, ages 7-14)","SL.TLF.0714.SW.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Children in employment, study and work (% of children in employment, ages 7-14)","SL.TLF.0714.SW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Children in employment, work only, female (% of female children in employment, ages 7-14)","SL.TLF.0714.WK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Children in employment, work only, male (% of male children in employment, ages 7-14)","SL.TLF.0714.WK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Children in employment, work only (% of children in employment, ages 7-14)","SL.TLF.0714.WK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Children in employment, total (% of children ages 7-14)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Labor participation rate, female (% of female population ages 15+)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Labor participation rate, male (% of male population ages 15+)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Unemployment, female (% of female labor force)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.30000019073486","","","8.30000019073486","","","8.39999961853027","","","7.40000009536743","7.40000009536743","","","","","","6.5","","","","","",
"Aruba","ABW","Unemployment, male (% of male labor force)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.90000009536743","","","5.59999990463257","","","6.80000019073486","","","6.5","6.5","","","","","","5","","","","","",
"Aruba","ABW","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","106.2062","102.8116","99.417","94.4542","89.4914","84.5286","79.5658","74.603","71.665","68.727","65.78899","62.85099","59.913","59.0044","58.0958","57.1872","56.2786","55.37","54.9542","54.5384","54.1226","53.70681","53.291","53.0288","52.7666","52.5044","52.2422","51.98","51.41","50.84","50.27","49.7","49.13","48.7648","48.3996","48.0344","47.6692","47.304","46.067","44.83","43.593","42.356","41.119","39.5738","38.0286","36.4834","34.9382","33.393","32.0268","30.6606","29.2944","27.9282","",
"Aruba","ABW","Life expectancy at birth, female (years)","SP.DYN.LE00.FE.IN","67.129","67.625","68.065","68.458","68.817","69.165","69.526","69.917","70.345","70.811","71.306","71.815","72.312","72.779","73.204","73.579","73.902","74.183","74.43","74.647","74.839","75.01","75.164","75.305","75.436","75.556","75.663","75.754","75.827","75.886","75.932","75.969","76.002","76.033","76.066","76.1","76.133","76.164","76.192","76.221","76.257","76.307","76.375","76.465","76.575","76.703","76.845","76.994","77.143","77.288","77.429","77.563","",
"Aruba","ABW","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","64.084","64.429","64.747","65.053","65.356","65.66","65.959","66.242","66.503","66.745","66.972","67.19","67.405","67.626","67.857","68.11","68.394","68.706","69.041","69.387","69.726","70.036","70.301","70.51","70.66","70.757","70.814","70.851","70.886","70.924","70.969","71.018","71.062","71.098","71.126","71.148","71.167","71.187","71.214","71.251","71.305","71.379","71.475","71.591","71.725","71.871","72.024","72.176","72.323","72.462","72.593","72.716","",
"Andorra","AND","Ratio of young literate females to males (% ages 15-24)","SE.ADT.1524.LT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Ratio of female to male primary enrollment (%)","SE.ENR.PRIM.FM.ZS","","","","","","","","","","","","","","","","106.478","","","","","","","","97.939","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Ratio of girls to boys in primary and secondary education (%)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","110.907","","","","","","","","102.873","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Ratio of female to male secondary enrollment (%)","SE.ENR.SECO.FM.ZS","","","","","","","","","","","","98.801","118.307","92.907","145.565","109.156","195.225","","","","","","","110.246","","","","","","","","","","","","","","","","","","","106.363","107.982","108.422","111.356","110.144","107.714","107.117","106.285","104.563","103.03","",
"Andorra","AND","Ratio of female to male tertiary enrollment (%)","SE.ENR.TERT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103.742","97.232","95.868","104.743","116.023","","142.861","","","","",
"Andorra","AND","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.1","7.1","7.1","7.1","14.3","14.3","14.3","14.3","28.6","28.6","28.6","25","35.7","35.7","50","50",
"Andorra","AND","Prevalence of HIV, female (% ages 15-24)","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Prevalence of HIV, male (% ages 15-24)","SH.HIV.1524.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Share of women employed in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.6","45.7","45.8","46.1","46.6","46.8","47.3","","","",
"Andorra","AND","Vulnerable employment, female (% of female employment)","SL.EMP.VULN.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Vulnerable employment, male (% of male employment)","SL.EMP.VULN.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Children in employment, female (% of female children ages 7-14)","SL.TLF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
